127.0.0.1 - - [10/Apr/2015:15:42:36 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:38 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:38 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:38 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 200 117014
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:39 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 200 19413
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:39 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 200 41537
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:39 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 200 56934
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:39 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 200 61115
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:39 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 200 51937
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:39 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 200 62290
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:39 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:42:57 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:43:13 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:43:48 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:43:48 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:43:54 -0500] "GET /index.jsp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 200 117014
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 200 19413
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 200 41537
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 200 62290
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 200 56934
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 200 61115
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 200 51937
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:05 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:30 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2752
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 200 117014
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2752
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 200 117014
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 200 41537
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 200 41537
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 200 19413
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 200 19413
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 200 62290
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 200 56934
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 200 61115
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 200 51937
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2752
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 200 19413
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 200 117014
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 200 41537
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 200 62290
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 200 56934
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 200 51937
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 200 61115
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:35 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:36 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2752
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:36 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:36 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 200 19413
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:36 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 200 117014
